26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 03월 31일,2025년 12월 31일,26.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 06월 30일,2025년 12월 31일,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 09월 30일,2025년 12월 31일,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 12월 31일,2025년 12월 31일
Ⅰ.유동자산,"452,307,440,260","220,601,566,875","46,719,250,972","112,263,400",0,"2,418,454,195","36,563,615,310","758,722,591,012",,,,,"621,430,482,596","942,218,950,011",Ⅰ.유동자산,,,,,,,,,,,,,,"942,218,950,011",Ⅰ.유동자산,,,,,,,,,,,,,,"942,218,950,011",Ⅰ.유동자산,,,,,,,,,,,,,,"942,218,950,011"
(1)당좌자산,"237,400,823,465","92,094,888,334","13,166,315,481","112,263,400",0,"2,373,065,817","25,659,990,567","370,807,347,064",,,,,"301,232,532,561","538,208,747,927",(1)당좌자산,,,,,,,,,,,,,,"538,208,747,927",(1)당좌자산,,,,,,,,,,,,,,"538,208,747,927",(1)당좌자산,,,,,,,,,,,,,,"538,208,747,927"
현금및현금성자산,"79,495,598,457","60,403,717,502","7,022,462,133","59,736,800",0,"778,985,781","16,283,463,009","164,043,963,682",0,0,,,"164,043,963,682","325,383,761,882",현금및현금성자산,,,,,,,,,,,,,,"325,383,761,882",현금및현금성자산,,,,,,,,,,,,,,"325,383,761,882",현금및현금성자산,,,,,,,,,,,,,,"325,383,761,882"
기타유동금융자산,0,0,0,0,0,0,0,0,,,,,0,"16,380,800,000",기타유동금융자산,,,,,,,,,,,,,,"16,380,800,000",기타유동금융자산,,,,,,,,,,,,,,"16,380,800,000",기타유동금융자산,,,,,,,,,,,,,,"16,380,800,000"
통화선도,0,0,0,0,0,0,0,0,,,,,0,0,통화선도,,,,,,,,,,,,,,0,통화선도,,,,,,,,,,,,,,0,통화선도,,,,,,,,,,,,,,0
(유동)당기손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0,(유동)당기손익-공정가치측정금융자산,,,,,,,,,,,,,,0,(유동)당기손익-공정가치측정금융자산,,,,,,,,,,,,,,0,(유동)당기손익-공정가치측정금융자산,,,,,,,,,,,,,,0
매출채권,"123,192,933,095","20,895,952,759","2,465,185,086","45,731,725",0,"470,814,944","8,620,687,026","155,691,304,635",,"64,452,451,666",,,"91,238,852,969","153,454,315,256",매출채권,,,,,,,,,,,,,,"153,454,315,256",매출채권,,,,,,,,,,,,,,"153,454,315,256",매출채권,,,,,,,,,,,,,,"153,454,315,256"
매출채권대손충당금,"-1,799,297,854",0,0,0,0,0,"-4,317,129,782","-6,116,427,636",,,,,"-6,116,427,636","-2,640,835,076",매출채권대손충당금,,,,,,,,,,,,,,"-2,640,835,076",매출채권대손충당금,,,,,,,,,,,,,,"-2,640,835,076",매출채권대손충당금,,,,,,,,,,,,,,"-2,640,835,076"
미수금,"19,387,674,115",0,"3,512,819","3,444,441",0,"188,386,325","2,771,342,500","22,354,360,200",,"2,927,854,289",,,"19,426,505,911","18,616,396,502",미수금,,,,,,,,,,,,,,"18,616,396,502",미수금,,,,,,,,,,,,,,"18,616,396,502",미수금,,,,,,,,,,,,,,"18,616,396,502"
미수금대손충당금,"-138,218,849",0,0,0,0,0,0,"-138,218,849",,,,,"-138,218,849","-151,730,767",미수금대손충당금,,,,,,,,,,,,,,"-151,730,767",미수금대손충당금,,,,,,,,,,,,,,"-151,730,767",미수금대손충당금,,,,,,,,,,,,,,"-151,730,767"
유동성보증금,"5,368,899,357","2,251,949,829","2,741,804,297",0,0,0,"135,595,450","10,498,248,933",,,,,"10,498,248,933","9,493,489,160",유동성보증금,,,,,,,,,,,,,,"9,493,489,160",유동성보증금,,,,,,,,,,,,,,"9,493,489,160",유동성보증금,,,,,,,,,,,,,,"9,493,489,160"
현재가치할인차금(유동),"-68,140,765","-196,567,920",0,0,0,0,0,"-264,708,685",,,,,"-264,708,685","-238,220,359",현재가치할인차금(유동),,,,,,,,,,,,,,"-238,220,359",현재가치할인차금(유동),,,,,,,,,,,,,,"-238,220,359",현재가치할인차금(유동),,,,,,,,,,,,,,"-238,220,359"
유동리스채권(순투자),"395,298,915",0,0,0,0,0,0,"395,298,915",,,,,"395,298,915","20,227,804",유동리스채권(순투자),,,,,,,,,,,,,,"20,227,804",유동리스채권(순투자),,,,,,,,,,,,,,"20,227,804",유동리스채권(순투자),,,,,,,,,,,,,,"20,227,804"
단기대여금,0,0,0,0,0,0,"3,879,071,628","3,879,071,628",,0,,,"3,879,071,628",0,단기대여금,,,,,,,,,,,,,,0,단기대여금,,,,,,,,,,,,,,0,단기대여금,,,,,,,,,,,,,,0
단기대여금대손충당금,0,0,0,0,0,0,"-3,879,071,628","-3,879,071,628",,,,,"-3,879,071,628",0,단기대여금대손충당금,,,,,,,,,,,,,,0,단기대여금대손충당금,,,,,,,,,,,,,,0,단기대여금대손충당금,,,,,,,,,,,,,,0
미수수익,"1,085,913,842",0,0,0,0,0,0,"1,085,913,842",,"1,085,913,842",,,0,0,미수수익,,,,,,,,,,,,,,0,미수수익,,,,,,,,,,,,,,0,미수수익,,,,,,,,,,,,,,0
미수수익대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,미수수익대손충당금,,,,,,,,,,,,,,0,미수수익대손충당금,,,,,,,,,,,,,,0,미수수익대손충당금,,,,,,,,,,,,,,0
선급부가세,0,0,0,0,0,0,0,0,,,,,0,0,선급부가세,,,,,,,,,,,,,,0,선급부가세,,,,,,,,,,,,,,0,선급부가세,,,,,,,,,,,,,,0
선급금,"273,308,624","526,932,208",0,"2,612,943",0,"117,140,867",0,"919,994,642",,0,,,"919,994,642","1,391,621,919",선급금,,,,,,,,,,,,,,"1,391,621,919",선급금,,,,,,,,,,,,,,"1,391,621,919",선급금,,,,,,,,,,,,,,"1,391,621,919"
선급금대손충당금,0,,,,0,0,0,0,,,,,0,0,선급금대손충당금,,,,,,,,,,,,,,0,선급금대손충당금,,,,,,,,,,,,,,0,선급금대손충당금,,,,,,,,,,,,,,0
선급비용,"10,206,854,528","8,212,903,956","933,351,146","737,491",0,"817,737,900","2,166,032,364","22,337,617,385",,"1,108,594,706",,,"21,229,022,679","16,498,921,606",선급비용,,,,,,,,,,,,,,"16,498,921,606",선급비용,,,,,,,,,,,,,,"16,498,921,606",선급비용,,,,,,,,,,,,,,"16,498,921,606"
미완성프로그램,0,0,0,0,0,0,0,0,,,,,0,0,미완성프로그램,,,,,,,,,,,,,,0,미완성프로그램,,,,,,,,,,,,,,0,미완성프로그램,,,,,,,,,,,,,,0
완성프로그램,0,0,0,0,0,0,0,0,,0,,,0,0,완성프로그램,,,,,,,,,,,,,,0,완성프로그램,,,,,,,,,,,,,,0,완성프로그램,,,,,,,,,,,,,,0
완성프로그램-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,완성프로그램-대손충당금,,,,,,,,,,,,,,0,완성프로그램-대손충당금,,,,,,,,,,,,,,0,완성프로그램-대손충당금,,,,,,,,,,,,,,0
출연료선급금,0,0,0,0,0,0,0,0,,,,,0,0,출연료선급금,,,,,,,,,,,,,,0,출연료선급금,,,,,,,,,,,,,,0,출연료선급금,,,,,,,,,,,,,,0
출연료선급금-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,출연료선급금-대손충당금,,,,,,,,,,,,,,0,출연료선급금-대손충당금,,,,,,,,,,,,,,0,출연료선급금-대손충당금,,,,,,,,,,,,,,0
(2)재고자산,"214,606,831,954","123,617,042,432","33,552,935,491",0,0,0,"9,992,916,292","381,769,726,169",,,,,"314,052,432,256","403,162,869,192",(2)재고자산,,,,,,,,,,,,,,"403,162,869,192",(2)재고자산,,,,,,,,,,,,,,"403,162,869,192",(2)재고자산,,,,,,,,,,,,,,"403,162,869,192"
상품,"3,771,600,571","174,837,217,664","34,656,976,598",0,0,0,"9,836,864,781","223,102,659,614",,"209,494,194,262",,,"13,608,465,352","8,718,591,862",상품,,,,,,,,,,,,,,"8,718,591,862",상품,,,,,,,,,,,,,,"8,718,591,862",상품,,,,,,,,,,,,,,"8,718,591,862"
상품평가손실충당금,"-2,310,667,606","-58,429,709,654","-1,104,041,107",0,0,0,"-456,013,748","-62,300,432,115",,"-59,533,750,761",,,"-2,766,681,354","-1,207,330,753",상품평가손실충당금,,,,,,,,,,,,,,"-1,207,330,753",상품평가손실충당금,,,,,,,,,,,,,,"-1,207,330,753",상품평가손실충당금,,,,,,,,,,,,,,"-1,207,330,753"
제품,"212,719,361,992",0,0,0,0,0,0,"212,719,361,992","103,577,239,892",,,,"316,296,601,884","409,918,251,147",제품,,,,,,,,,,,,,,"409,918,251,147",제품,,,,,,,,,,,,,,"409,918,251,147",제품,,,,,,,,,,,,,,"409,918,251,147"
제품평가손실충당금,"-12,513,675,885",0,0,0,0,0,0,"-12,513,675,885","-14,124,555,882",,,,"-26,638,231,767","-31,645,683,464",제품평가손실충당금,,,,,,,,,,,,,,"-31,645,683,464",제품평가손실충당금,,,,,,,,,,,,,,"-31,645,683,464",제품평가손실충당금,,,,,,,,,,,,,,"-31,645,683,464"
재공품,0,0,0,0,0,0,0,0,,,,,0,0,재공품,,,,,,,,,,,,,,0,재공품,,,,,,,,,,,,,,0,재공품,,,,,,,,,,,,,,0
재공품평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0,재공품평가손실충당금,,,,,,,,,,,,,,0,재공품평가손실충당금,,,,,,,,,,,,,,0,재공품평가손실충당금,,,,,,,,,,,,,,0
원재료,0,0,0,0,0,0,0,0,,,,,0,0,원재료,,,,,,,,,,,,,,0,원재료,,,,,,,,,,,,,,0,원재료,,,,,,,,,,,,,,0
원재료평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0,원재료평가손실충당금,,,,,,,,,,,,,,0,원재료평가손실충당금,,,,,,,,,,,,,,0,원재료평가손실충당금,,,,,,,,,,,,,,0
저장품,"2,766,075,137",0,0,0,0,0,0,"2,766,075,137",,,,,"2,766,075,137","3,123,142,465",저장품,,,,,,,,,,,,,,"3,123,142,465",저장품,,,,,,,,,,,,,,"3,123,142,465",저장품,,,,,,,,,,,,,,"3,123,142,465"
부재료,"5,838,002,849",0,0,0,0,0,0,"5,838,002,849",,,,,"5,838,002,849","6,737,600,622",부재료,,,,,,,,,,,,,,"6,737,600,622",부재료,,,,,,,,,,,,,,"6,737,600,622",부재료,,,,,,,,,,,,,,"6,737,600,622"
미착품,"4,336,134,896","7,209,534,422",0,0,0,0,"612,065,259","12,157,734,577",,"7,209,534,422",,,"4,948,200,155","7,518,297,313",미착품,,,,,,,,,,,,,,"7,518,297,313",미착품,,,,,,,,,,,,,,"7,518,297,313",미착품,,,,,,,,,,,,,,"7,518,297,313"
미완성프로그램_재고,0,0,0,0,0,0,0,0,,,,,0,0,미완성프로그램_재고,,,,,,,,,,,,,,0,미완성프로그램_재고,,,,,,,,,,,,,,0,미완성프로그램_재고,,,,,,,,,,,,,,0
완성프로그램_재고,,,,,0,,0,0,,,,,0,0,완성프로그램_재고,,,,,,,,,,,,,,0,완성프로그램_재고,,,,,,,,,,,,,,0,완성프로그램_재고,,,,,,,,,,,,,,0
(3)반품회수자산,"299,784,841",0,0,0,0,0,0,"299,784,841",,,,,"299,784,841","781,508,920",(3)반품회수자산,,,,,,,,,,,,,,"781,508,920",(3)반품회수자산,,,,,,,,,,,,,,"781,508,920",(3)반품회수자산,,,,,,,,,,,,,,"781,508,920"
(4)당기법인세자산,0,"4,889,636,109",0,0,0,"45,388,378","910,708,451","5,845,732,938",,,,,"5,845,732,938","65,823,972",(4)당기법인세자산,,,,,,,,,,,,,,"65,823,972",(4)당기법인세자산,,,,,,,,,,,,,,"65,823,972",(4)당기법인세자산,,,,,,,,,,,,,,"65,823,972"
파생상품자산,0,0,0,0,0,0,0,0,,,,,0,0,파생상품자산,,,,,,,,,,,,,,0,파생상품자산,,,,,,,,,,,,,,0,파생상품자산,,,,,,,,,,,,,,0
매각예정비유동자산,0,0,0,0,0,0,0,0,,,,,0,0,매각예정비유동자산,,,,,,,,,,,,,,0,매각예정비유동자산,,,,,,,,,,,,,,0,매각예정비유동자산,,,,,,,,,,,,,,0
Ⅱ.비유동자산,"1,492,196,834,830","69,471,550,833","18,311,009,854","17,841,382",0,"5,189,210,715","71,798,312,431","1,656,984,760,045",,,,,"1,636,519,146,743","1,709,226,947,838",Ⅱ.비유동자산,,,,,,,,,,,,,,"1,709,226,947,838",Ⅱ.비유동자산,,,,,,,,,,,,,,"1,709,226,947,838",Ⅱ.비유동자산,,,,,,,,,,,,,,"1,709,226,947,838"
