26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 1분기 연결,26.2Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인머트,세르지오,단순합계,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 2분기 연결,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 3분기 연결,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 4분기 연결
Ⅰ.매출액,"379,908,702,367","303,083,217,870","25,832,156,056","190,145,222",0,"597,095,106","7,513,243,565","717,124,560,186",,,"560,898,180,961",,"560,898,180,961",Ⅰ.매출액,,,,,,,,,,,,,,Ⅰ.매출액,,,,,,,,,,,,,,Ⅰ.매출액,,,,,,,,,,,,,
제품매출,"377,077,327,716",0,0,0,0,0,0,"377,077,327,716","155,992,228,840",,"221,085,098,876",,"221,085,098,876",제품매출,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,
상품매출,"741,249,418","303,083,217,870","25,832,156,056",0,0,0,"5,831,576,823","335,488,200,167",0,,"335,488,200,167",,"335,488,200,167",상품매출,,,,,,,,,,,,,,상품매출,,,,,,,,,,,,,,상품매출,,,,,,,,,,,,,
수수료매출,"281,362,668",0,0,"190,145,222",0,0,0,"471,507,890","190,145,222",,"281,362,668",,"281,362,668",수수료매출,,,,,,,,,,,,,,수수료매출,,,,,,,,,,,,,,수수료매출,,,,,,,,,,,,,
물류매출,0,0,0,0,0,0,0,0,,,0,,0,물류매출,,,,,,,,,,,,,,물류매출,,,,,,,,,,,,,,물류매출,,,,,,,,,,,,,
임대매출,"1,259,657,259",0,0,0,0,0,0,"1,259,657,259",,,"1,259,657,259",,"1,259,657,259",임대매출,,,,,,,,,,,,,,임대매출,,,,,,,,,,,,,,임대매출,,,,,,,,,,,,,
기타매출,"549,105,306",0,0,0,0,"597,095,106","1,681,666,742","2,827,867,154","44,005,163",,"2,783,861,991",,"2,783,861,991",기타매출,,,,,,,,,,,,,,기타매출,,,,,,,,,,,,,,기타매출,,,,,,,,,,,,,
Ⅱ.매출원가,"138,686,395,350","239,237,843,962","10,848,200,422","161,870,011",0,"826,742,791","2,261,254,496","392,022,307,032",,,"193,138,518,687",,"193,138,518,687",Ⅱ.매출원가,,,,,,,,,,,,,,Ⅱ.매출원가,,,,,,,,,,,,,,Ⅱ.매출원가,,,,,,,,,,,,,
제품매출원가,"136,993,272,383",0,0,0,0,0,0,"136,993,272,383","250,086,044,384","198,721,918,334","188,357,398,433",,"188,357,398,433",제품매출원가,,,,,,,,,,,,,,제품매출원가,,,,,,,,,,,,,,제품매출원가,,,,,,,,,,,,,
기초제품재고액,,0,0,0,0,0,0,0,,,0,,0,기초제품재고액,,,,,,,,,,,,,,기초제품재고액,,,,,,,,,,,,,,기초제품재고액,,,,,,,,,,,,,
