기간별 매매기준율,,,,,,
기간 : 2024년 01월 01일 ~ 2026년 03월 31일,,,,,,
,,,,,,
평균환율,,,,,,
평균환율,최저치,기록일,최고치,기록일,등락폭,Cross Rate
195.42,180.84,2024.01.02,218.7,2026.03.31,37.86,0
일별 매매기준율,,,,,,
,,,,,,
날짜,통화명,환율,전일대비,Cross Rate,,
2024.01.02,위안 (CNH),180.84,0,0,,
2024.01.03,위안 (CNH),182.63,1.79,0,,
2024.01.04,위안 (CNH),183.19,0.56,0,,
2024.01.05,위안 (CNH),182.94,-0.25,0,,
2024.01.08,위안 (CNH),183,0.06,0,,
2024.01.09,위안 (CNH),183.47,0.47,0,,
2024.01.10,위안 (CNH),182.96,-0.51,0,,
2024.01.11,위안 (CNH),183.83,0.87,0,,
2024.01.12,위안 (CNH),183.51,-0.32,0,,
2024.01.15,위안 (CNH),183.35,-0.16,0,,
2024.01.16,위안 (CNH),183.63,0.28,0,,
2024.01.17,위안 (CNH),184.7,1.07,0,,
2024.01.18,위안 (CNH),186.19,1.49,0,,
2024.01.19,위안 (CNH),186.06,-0.13,0,,
2024.01.22,위안 (CNH),185.35,-0.71,0,,
2024.01.23,위안 (CNH),185.11,-0.24,0,,
2024.01.24,위안 (CNH),186,0.89,0,,
2024.01.25,위안 (CNH),186.65,0.65,0,,
2024.01.26,위안 (CNH),186.45,-0.2,0,,
2024.01.29,위안 (CNH),186.12,-0.33,0,,
2024.01.30,위안 (CNH),185.85,-0.27,0,,
2024.01.31,위안 (CNH),185.15,-0.7,0,,
2024.02.01,위안 (CNH),185.63,0.48,0,,
2024.02.02,위안 (CNH),185.21,-0.42,0,,
2024.02.05,위안 (CNH),184.48,-0.73,0,,
2024.02.06,위안 (CNH),185.18,0.7,0,,
2024.02.07,위안 (CNH),184.51,-0.67,0,,
2024.02.08,위안 (CNH),184.13,-0.38,0,,
2024.02.13,위안 (CNH),184.2,0.07,0,,
2024.02.14,위안 (CNH),183.93,-0.27,0,,
2024.02.15,위안 (CNH),185.09,1.16,0,,
2024.02.16,위안 (CNH),184.49,-0.6,0,,
2024.02.19,위안 (CNH),184.64,0.15,0,,
2024.02.20,위안 (CNH),185.07,0.43,0,,
2024.02.21,위안 (CNH),185.63,0.56,0,,
2024.02.22,위안 (CNH),185.65,0.02,0,,
2024.02.23,위안 (CNH),184.99,-0.66,0,,
2024.02.26,위안 (CNH),184.52,-0.47,0,,
2024.02.27,위안 (CNH),184.76,0.24,0,,
2024.02.28,위안 (CNH),184.67,-0.09,0,,
2024.02.29,위안 (CNH),184.86,0.19,0,,
2024.03.04,위안 (CNH),185.12,0.26,0,,
2024.03.05,위안 (CNH),184.55,-0.57,0,,
2024.03.06,위안 (CNH),185.08,0.53,0,,
2024.03.07,위안 (CNH),185.32,0.24,0,,
2024.03.08,위안 (CNH),184.5,-0.82,0,,
2024.03.11,위안 (CNH),183.86,-0.64,0,,
2024.03.12,위안 (CNH),182.69,-1.17,0,,
2024.03.13,위안 (CNH),182.63,-0.06,0,,
2024.03.14,위안 (CNH),182.53,-0.1,0,,
2024.03.15,위안 (CNH),183.04,0.51,0,,
2024.03.18,위안 (CNH),184.32,1.28,0,,
2024.03.19,위안 (CNH),185.03,0.71,0,,
2024.03.20,위안 (CNH),185.64,0.61,0,,
2024.03.21,위안 (CNH),185.62,-0.02,0,,
2024.03.22,위안 (CNH),184.04,-1.58,0,,
2024.03.25,위안 (CNH),184.49,0.45,0,,
2024.03.26,위안 (CNH),184.88,0.39,0,,
2024.03.27,위안 (CNH),184.86,-0.02,0,,
2024.03.28,위안 (CNH),185.57,0.71,0,,
2024.03.29,위안 (CNH),185.75,0.18,0,,
2024.04.01,위안 (CNH),185.63,-0.12,0,,
2024.04.02,위안 (CNH),185.68,0.05,0,,
2024.04.03,위안 (CNH),186.13,0.45,0,,
2024.04.04,위안 (CNH),185.92,-0.21,0,,
2024.04.05,위안 (CNH),185.88,-0.04,0,,
2024.04.08,위안 (CNH),186.6,0.72,0,,
2024.04.09,위안 (CNH),186.63,0.03,0,,
2024.04.11,위안 (CNH),187.01,0.38,0,,
2024.04.12,위안 (CNH),188.03,1.02,0,,
2024.04.15,위안 (CNH),189.14,1.11,0,,
2024.04.16,위안 (CNH),190.58,1.44,0,,
2024.04.17,위안 (CNH),191.99,1.41,0,,
2024.04.18,위안 (CNH),190.83,-1.16,0,,
2024.04.19,위안 (CNH),189.71,-1.12,0,,
2024.04.22,위안 (CNH),191,1.29,0,,
2024.04.23,위안 (CNH),190.53,-0.47,0,,
2024.04.24,위안 (CNH),189.9,-0.63,0,,
2024.04.25,위안 (CNH),188.67,-1.23,0,,
2024.04.26,위안 (CNH),189.51,0.84,0,,
2024.04.29,위안 (CNH),189.54,0.03,0,,
2024.04.30,위안 (CNH),190.05,0.51,0,,
2024.05.02,위안 (CNH),189.92,-0.13,0,,
2024.05.03,위안 (CNH),190.31,0.39,0,,
2024.05.07,위안 (CNH),189.55,-0.76,0,,
2024.05.08,위안 (CNH),188.13,-1.42,0,,
2024.05.09,위안 (CNH),188.74,0.61,0,,
2024.05.10,위안 (CNH),189.2,0.46,0,,
2024.05.13,위안 (CNH),189.27,0.07,0,,
2024.05.14,위안 (CNH),189.21,-0.06,0,,
2024.05.16,위안 (CNH),189.08,-0.13,0,,
2024.05.17,위안 (CNH),186.89,-2.19,0,,
2024.05.20,위안 (CNH),187.54,0.65,0,,
2024.05.21,위안 (CNH),187.49,-0.05,0,,
2024.05.22,위안 (CNH),188.36,0.87,0,,
2024.05.23,위안 (CNH),188.01,-0.35,0,,
2024.05.24,위안 (CNH),187.91,-0.1,0,,
2024.05.27,위안 (CNH),188.82,0.91,0,,
2024.05.28,위안 (CNH),188.15,-0.67,0,,
2024.05.29,위안 (CNH),187.21,-0.94,0,,
2024.05.30,위안 (CNH),187.77,0.56,0,,
2024.05.31,위안 (CNH),189.18,1.41,0,,
2024.06.03,위안 (CNH),190.48,1.3,0,,
2024.06.04,위안 (CNH),189.58,-0.9,0,,
2024.06.05,위안 (CNH),189.16,-0.42,0,,
2024.06.07,위안 (CNH),188.96,-0.2,0,,
2024.06.10,위안 (CNH),188.51,-0.45,0,,
2024.06.11,위안 (CNH),189.53,1.02,0,,
2024.06.12,위안 (CNH),189.52,-0.01,0,,
2024.06.13,위안 (CNH),189.43,-0.09,0,,
2024.06.14,위안 (CNH),189.12,-0.31,0,,
2024.06.17,위안 (CNH),189.5,0.38,0,,
2024.06.18,위안 (CNH),189.84,0.34,0,,
2024.06.19,위안 (CNH),189.88,0.04,0,,
2024.06.20,위안 (CNH),189.84,-0.04,0,,
2024.06.21,위안 (CNH),190.01,0.17,0,,
2024.06.24,위안 (CNH),190.65,0.64,0,,
2024.06.25,위안 (CNH),190.71,0.06,0,,
2024.06.26,위안 (CNH),190.39,-0.32,0,,
2024.06.27,위안 (CNH),190.61,0.22,0,,
2024.06.28,위안 (CNH),190.43,-0.18,0,,
2024.07.01,위안 (CNH),189.35,-1.08,0,,
2024.07.02,위안 (CNH),189.16,-0.19,0,,
2024.07.03,위안 (CNH),190.09,0.93,0,,
2024.07.04,위안 (CNH),190.13,0.04,0,,
2024.07.05,위안 (CNH),189.26,-0.87,0,,
2024.07.08,위안 (CNH),189.18,-0.08,0,,
2024.07.09,위안 (CNH),189.13,-0.05,0,,
2024.07.10,위안 (CNH),189.89,0.76,0,,
2024.07.11,위안 (CNH),190.07,0.18,0,,
2024.07.12,위안 (CNH),189.22,-0.85,0,,
2024.07.15,위안 (CNH),189.27,0.05,0,,
2024.07.16,위안 (CNH),189.97,0.7,0,,
2024.07.17,위안 (CNH),190.41,0.44,0,,
2024.07.18,위안 (CNH),189.6,-0.81,0,,
2024.07.19,위안 (CNH),189.86,0.26,0,,
2024.07.22,위안 (CNH),190.48,0.62,0,,
2024.07.23,위안 (CNH),190.5,0.02,0,,
2024.07.24,위안 (CNH),189.86,-0.64,0,,
2024.07.25,위안 (CNH),190.06,0.2,0,,
2024.07.26,위안 (CNH),190.85,0.79,0,,
2024.07.29,위안 (CNH),191.1,0.25,0,,
2024.07.30,위안 (CNH),190.17,-0.93,0,,
2024.07.31,위안 (CNH),190.39,0.22,0,,
2024.08.01,위안 (CNH),190.51,0.12,0,,
2024.08.02,위안 (CNH),188.51,-2,0,,
2024.08.05,위안 (CNH),189.78,1.27,0,,
2024.08.06,위안 (CNH),190.72,0.94,0,,
2024.08.07,위안 (CNH),192.03,1.31,0,,
2024.08.08,위안 (CNH),191.57,-0.46,0,,
2024.08.09,위안 (CNH),191.95,0.38,0,,
2024.08.12,위안 (CNH),191.2,-0.75,0,,
2024.08.13,위안 (CNH),190.39,-0.81,0,,
2024.08.14,위안 (CNH),190.8,0.41,0,,
2024.08.16,위안 (CNH),190.32,-0.48,0,,
2024.08.19,위안 (CNH),189.42,-0.9,0,,
2024.08.20,위안 (CNH),187.01,-2.41,0,,
2024.08.21,위안 (CNH),186.57,-0.44,0,,
2024.08.22,위안 (CNH),186.91,0.34,0,,
2024.08.23,위안 (CNH),187.6,0.69,0,,
2024.08.26,위안 (CNH),187.6,0,0,,
2024.08.27,위안 (CNH),186,-1.6,0,,
2024.08.28,위안 (CNH),186.73,0.73,0,,
2024.08.29,위안 (CNH),187.39,0.66,0,,
2024.08.30,위안 (CNH),187.56,0.17,0,,
2024.09.02,위안 (CNH),188.35,0.79,0,,
2024.09.03,위안 (CNH),188.54,0.19,0,,
2024.09.04,위안 (CNH),188.31,-0.23,0,,
2024.09.05,위안 (CNH),188.78,0.47,0,,
2024.09.06,위안 (CNH),188.05,-0.73,0,,
2024.09.09,위안 (CNH),187.74,-0.31,0,,
2024.09.10,위안 (CNH),188.51,0.77,0,,
2024.09.11,위안 (CNH),188.69,0.18,0,,
2024.09.12,위안 (CNH),188.25,-0.44,0,,
2024.09.13,위안 (CNH),187.96,-0.29,0,,
2024.09.19,위안 (CNH),187.16,-0.8,0,,
2024.09.20,위안 (CNH),188.1,0.94,0,,
2024.09.23,위안 (CNH),188.57,0.47,0,,
2024.09.24,위안 (CNH),189.6,1.03,0,,
2024.09.25,위안 (CNH),189.32,-0.28,0,,
2024.09.26,위안 (CNH),189.48,0.16,0,,
2024.09.27,위안 (CNH),189.42,-0.06,0,,
2024.09.30,위안 (CNH),188.74,-0.68,0,,
2024.10.02,위안 (CNH),186.86,-1.88,0,,
2024.10.04,위안 (CNH),188.16,1.3,0,,
2024.10.07,위안 (CNH),188.93,0.77,0,,
2024.10.08,위안 (CNH),190.05,1.12,0,,
2024.10.10,위안 (CNH),190.91,0.86,0,,
2024.10.11,위안 (CNH),190.78,-0.13,0,,
2024.10.14,위안 (CNH),190.3,-0.48,0,,
2024.10.15,위안 (CNH),191.51,1.21,0,,
2024.10.16,위안 (CNH),191.34,-0.17,0,,
2024.10.17,위안 (CNH),191.22,-0.12,0,,
2024.10.18,위안 (CNH),191.64,0.42,0,,
2024.10.21,위안 (CNH),192.32,0.68,0,,
2024.10.22,위안 (CNH),192.51,0.19,0,,
2024.10.23,위안 (CNH),193.46,0.95,0,,
2024.10.24,위안 (CNH),193.54,0.08,0,,
2024.10.25,위안 (CNH),193.66,0.12,0,,
2024.10.28,위안 (CNH),194.43,0.77,0,,
2024.10.29,위안 (CNH),194.17,-0.26,0,,
2024.10.30,위안 (CNH),193.29,-0.88,0,,
2024.10.31,위안 (CNH),193.56,0.27,0,,
2024.11.01,위안 (CNH),193.44,-0.12,0,,
2024.11.04,위안 (CNH),193.36,-0.08,0,,
2024.11.05,위안 (CNH),193.06,-0.3,0,,
2024.11.06,위안 (CNH),193.95,0.89,0,,
2024.11.07,위안 (CNH),194.35,0.4,0,,
2024.11.08,위안 (CNH),194.32,-0.03,0,,
2024.11.11,위안 (CNH),193.45,-0.87,0,,
2024.11.12,위안 (CNH),193.98,0.53,0,,
2024.11.13,위안 (CNH),193.37,-0.61,0,,
2024.11.14,위안 (CNH),194.42,1.05,0,,
2024.11.15,위안 (CNH),193.91,-0.51,0,,
2024.11.18,위안 (CNH),193.47,-0.44,0,,
2024.11.19,위안 (CNH),192.35,-1.12,0,,
2024.11.20,위안 (CNH),192.41,0.06,0,,
2024.11.21,위안 (CNH),192.28,-0.13,0,,
2024.11.22,위안 (CNH),192.85,0.57,0,,
2024.11.25,위안 (CNH),192.98,0.13,0,,
2024.11.26,위안 (CNH),192.77,-0.21,0,,
2024.11.27,위안 (CNH),193.16,0.39,0,,
2024.11.28,위안 (CNH),192.36,-0.8,0,,
2024.11.29,위안 (CNH),192.42,0.06,0,,
2024.12.02,위안 (CNH),192.81,0.39,0,,
2024.12.03,위안 (CNH),192.84,0.03,0,,
2024.12.04,위안 (CNH),192.17,-0.67,0,,
2024.12.05,위안 (CNH),193.82,1.65,0,,
2024.12.06,위안 (CNH),194.41,0.59,0,,
2024.12.09,위안 (CNH),195.28,0.87,0,,
2024.12.10,위안 (CNH),196.88,1.6,0,,
2024.12.11,위안 (CNH),196.8,-0.08,0,,
2024.12.12,위안 (CNH),197.43,0.63,0,,
2024.12.13,위안 (CNH),197.17,-0.26,0,,
2024.12.16,위안 (CNH),196.79,-0.38,0,,
2024.12.17,위안 (CNH),197.18,0.39,0,,
2024.12.18,위안 (CNH),196.98,-0.2,0,,
2024.12.19,위안 (CNH),197.18,0.2,0,,
2024.12.20,위안 (CNH),198.2,1.02,0,,
2024.12.23,위안 (CNH),198.45,0.25,0,,
2024.12.24,위안 (CNH),198.51,0.06,0,,
2024.12.26,위안 (CNH),198.81,0.3,0,,
2024.12.27,위안 (CNH),200.19,1.38,0,,
2024.12.30,위안 (CNH),202.38,2.19,0,,
2024.12.31,위안 (CNH),201.27,-1.11,0,,
2025.01.02,위안 (CNH),201.27,0,0,,
2025.01.03,위안 (CNH),200.57,-0.7,0,,
2025.01.06,위안 (CNH),200.09,-0.48,0,,
2025.01.07,위안 (CNH),199.85,-0.24,0,,
