기간별 매매기준율,,,,,,
기간 : 2024년 01월 01일 ~ 2026년 03월 31일,,,,,,
,,,,,,
평균환율,,,,,,
평균환율,최저치,기록일,최고치,기록일,등락폭,Cross Rate
179.57,165.12,2024.01.02,193.15,2026.03.31,28.03,7.80105
일별 매매기준율,,,,,,
,,,,,,
날짜,통화명,환율,전일대비,Cross Rate,,
2024.01.02,홍콩 달러 (HKD),165.12,0.06,7.80875,,
2024.01.03,홍콩 달러 (HKD),166.24,1.12,7.81575,,
2024.01.04,홍콩 달러 (HKD),167.64,1.4,7.807,,
2024.01.05,홍콩 달러 (HKD),167.78,0.14,7.80885,,
2024.01.08,홍콩 달러 (HKD),168.17,0.39,7.8119,,
2024.01.09,홍콩 달러 (HKD),168.42,0.25,7.8069,,
2024.01.10,홍콩 달러 (HKD),167.87,-0.55,7.81595,,
2024.01.11,홍콩 달러 (HKD),168.82,0.95,7.8195,,
2024.01.12,홍콩 달러 (HKD),168.34,-0.48,7.81765,,
2024.01.15,홍콩 달러 (HKD),168.03,-0.31,7.8207,,
2024.01.16,홍콩 달러 (HKD),168.64,0.61,7.8231,,
2024.01.17,홍콩 달러 (HKD),169.79,1.15,7.82725,,
2024.01.18,홍콩 달러 (HKD),171.72,1.93,7.82185,,
2024.01.19,홍콩 달러 (HKD),171.65,-0.07,7.82035,,
2024.01.22,홍콩 달러 (HKD),170.94,-0.71,7.81835,,
2024.01.23,홍콩 달러 (HKD),170.73,-0.21,7.81765,,
2024.01.24,홍콩 달러 (HKD),170.81,0.08,7.8217,,
2024.01.25,홍콩 달러 (HKD),171.29,0.48,7.8179,,
2024.01.26,홍콩 달러 (HKD),170.84,-0.45,7.81825,,
2024.01.29,홍콩 달러 (HKD),171.05,0.21,7.8141,,
2024.01.30,홍콩 달러 (HKD),171.1,0.05,7.81375,,
2024.01.31,홍콩 달러 (HKD),170.21,-0.89,7.81725,,
2024.02.01,홍콩 달러 (HKD),170.58,0.37,7.81765,,
2024.02.02,홍콩 달러 (HKD),170.39,-0.19,7.8202,,
2024.02.05,홍콩 달러 (HKD),169.43,-0.96,7.8208,,
2024.02.06,홍콩 달러 (HKD),170.62,1.19,7.82185,,
2024.02.07,홍콩 달러 (HKD),169.97,-0.65,7.8227,,
2024.02.08,홍콩 달러 (HKD),169.5,-0.47,7.81905,,
2024.02.13,홍콩 달러 (HKD),169.77,0.27,7.81765,,
