기간별 매매기준율,,,,,,
기간 : 2024년 01월 01일 ~ 2026년 03월 31일,,,,,,
,,,,,,
평균환율,,,,,,
평균환율,최저치,기록일,최고치,기록일,등락폭,Cross Rate
44.31,40.94,2024.10.02,47.6,2025.11.17,6.66,31.63904
일별 매매기준율,,,,,,
,,,,,,
날짜,통화명,환율,전일대비,Cross Rate,,
2024.01.02,대만 달러 (TWD),42,0.02,30.697,,
2024.01.03,대만 달러 (TWD),42.05,0.05,30.9,,
2024.01.04,대만 달러 (TWD),42.14,0.09,31.057,,
2024.01.05,대만 달러 (TWD),42.17,0.03,31.069,,
2024.01.08,대만 달러 (TWD),42.42,0.25,30.967,,
2024.01.09,대만 달러 (TWD),42.43,0.01,30.9875,,
2024.01.10,대만 달러 (TWD),42.25,-0.18,31.059,,
2024.01.11,대만 달러 (TWD),42.39,0.14,31.139,,
2024.01.12,대만 달러 (TWD),42.37,-0.02,31.062,,
2024.01.15,대만 달러 (TWD),42.23,-0.14,31.1175,,
2024.01.16,대만 달러 (TWD),42.15,-0.08,31.298,,
2024.01.17,대만 달러 (TWD),42.23,0.08,31.473,,
2024.01.18,대만 달러 (TWD),42.54,0.31,31.573,,
2024.01.19,대만 달러 (TWD),42.49,-0.05,31.597,,
2024.01.22,대만 달러 (TWD),42.56,0.07,31.4005,,
2024.01.23,대만 달러 (TWD),42.53,-0.03,31.383,,
2024.01.24,대만 달러 (TWD),42.52,-0.01,31.419,,
2024.01.25,대만 달러 (TWD),42.77,0.25,31.306,,
2024.01.26,대만 달러 (TWD),42.63,-0.14,31.33,,
2024.01.29,대만 달러 (TWD),42.77,0.14,31.252,,
2024.01.30,대만 달러 (TWD),42.87,0.1,31.188,,
2024.01.31,대만 달러 (TWD),42.67,-0.2,31.184,,
2024.02.01,대만 달러 (TWD),42.66,-0.01,31.26,,
2024.02.02,대만 달러 (TWD),42.64,-0.02,31.253,,
2024.02.05,대만 달러 (TWD),42.22,-0.42,31.389,,
2024.02.06,대만 달러 (TWD),42.41,0.19,31.4725,,
2024.02.07,대만 달러 (TWD),42.46,0.05,31.3105,,
2024.02.08,대만 달러 (TWD),42.23,-0.23,31.382,,
2024.02.13,대만 달러 (TWD),42.37,0.14,31.326,,
2024.02.14,대만 달러 (TWD),42.13,-0.24,31.528,,
2024.02.15,대만 달러 (TWD),42.56,0.43,31.41,,
2024.02.16,대만 달러 (TWD),42.59,0.03,31.306,,
2024.02.19,대만 달러 (TWD),42.52,-0.07,31.348,,
2024.02.20,대만 달러 (TWD),42.44,-0.08,31.4245,,
2024.02.21,대만 달러 (TWD),42.52,0.08,31.4615,,
2024.02.22,대만 달러 (TWD),42.38,-0.14,31.497,,
2024.02.23,대만 달러 (TWD),42.2,-0.18,31.5395,,
2024.02.26,대만 달러 (TWD),42.04,-0.16,31.617,,
