분기,법인,매출액,매출원가,매출총이익,매출채권,재고자산,매입채무,,
24.1Q,국내(OC) ,"236,031","84,861","151,170","62,892","232,095","69,104",,
24.1Q,중국 ,"238,976","80,578","158,398","7,225","73,055","5,104",,
24.1Q,홍콩 ,"22,211","4,359","17,852","3,399","14,443",19,,
24.1Q,ST(미국) ,"9,182","2,031","7,151","2,822","4,244",894,,
24.1Q,기타,629,"2,716","-2,087","4,358", - ,774,,
24.1Q,합계,"507,029","174,545","332,484","80,696","323,836","75,896",,
24.2Q,국내(OC) ,"208,996","62,705","146,291","47,819","207,393","48,681",,
24.2Q,중국 ,"154,544","48,588","105,956","7,183","67,516","10,587",,
24.2Q,홍콩 ,"16,965","3,383","13,582","2,816","13,185",24,,
24.2Q,ST(미국) ,"9,282","2,144","7,138","4,429","4,806","3,380",,
24.2Q,기타,"1,686","3,354","-1,668","3,513",0,285,,
24.2Q,합계,"391,473","120,174","271,299","65,760","292,899","62,956",,
24.3Q,국내(OC) ,"167,998","54,707","113,291","42,931","247,016","115,166",,
24.3Q,중국 ,"250,154","90,959","159,195","81,857","94,822","14,414",,
24.3Q,홍콩 ,"15,559","4,012","11,547","2,230","14,748",-25,,
24.3Q,ST(미국) ,"8,198","2,241","5,957","5,643","5,150","1,055",,
24.3Q,기타,"9,053","14,124","-5,071",20,0,2,,
24.3Q,합계,"450,963","166,042","284,921","132,681","361,737","130,612",,
24.4Q,국내(OC) ,"301,138","93,282","207,856","84,347","214,281","79,771",,
24.4Q,중국 ,"214,166","81,541","132,625","40,081","86,202","17,885",,
24.4Q,홍콩 ,"20,299","3,631","16,668","3,967","15,861",37,,
24.4Q,ST(미국) ,"10,115","2,593","7,522","5,304","8,647","4,990",,
24.4Q,기타,827,"7,209","-6,382",126,0,2,,
24.4Q,합계,"546,544","188,256","358,288","133,826","324,992","102,685",,
25.1Q,국내(OC) ,"217,218","74,004","143,214","56,942","214,607","69,813",,34.10%
25.1Q,중국 ,"258,540","93,609","164,931","20,896","73,990","10,009",,36.20%
25.1Q,홍콩 ,"20,663","4,773","15,890","2,465","15,463",24,,23.10%
25.1Q,ST(미국) ,"8,443","1,966","6,477","4,304","9,993","2,115",,23.30%
25.1Q,기타,752,"1,530",-778,516,0,5,,203.50%
25.1Q,합계,"505,616","175,883","329,733","85,122","314,052","81,968",,34.80%
25.2Q,국내(OC) ,"182,702","55,727","126,975","39,858","199,305","53,640",,
25.2Q,중국 ,"170,703","55,489","115,214","8,793","70,971","12,445",,
25.2Q,홍콩 ,"15,742","4,356","11,386","3,324","13,757",76,,
25.2Q,ST(미국) ,"8,590","2,337","6,253","4,962","9,317","2,292",,
25.2Q,기타,"1,134","2,055",-921,582,0,0,,
25.2Q,합계,"378,871","119,964","258,907","57,519","293,350","68,454",,
25.3Q,국내(OC) ,"154,598","53,983","100,615","40,360","242,000","139,941",,
25.3Q,중국 ,"283,919","100,125","183,794","97,531","143,388","15,906",,
25.3Q,홍콩 ,"16,908","3,811","13,097","2,871","16,156",103,,
25.3Q,ST(미국) ,"16,123","2,844","13,279","11,498","12,483","2,562",,
25.3Q,기타,"2,709","4,539","-1,830",532,0,5,,
25.3Q,합계,"474,257","165,303","308,954","152,793","414,026","158,517",,
25.4Q,국내(OC) ,"287,542","90,916","196,626","77,372","219,172","90,450",,
25.4Q,중국 ,"247,172","75,928","171,244","67,697","159,113","8,816",,
25.4Q,홍콩 ,"22,962","4,409","18,553","4,839","15,281",146,,
25.4Q,ST(미국) ,"15,082","5,428","9,654",731,"9,288","5,584",,
25.4Q,기타,"2,495","4,358","-1,863",171,0,5,,
25.4Q,합계,"575,252","181,038","394,214","150,809","402,853","105,001",,
26.1Q,국내(OC) ,"223,917","77,282","146,635",,,,,34.50%
26.1Q,중국 ,"303,083","106,271","196,812",,,,,35.10%
26.1Q,홍콩 ,"25,832","6,497","19,335",,,,,25.20%
26.1Q,ST(미국) ,"7,469","2,261","5,208",,,,,30.30%
26.1Q,기타,597,828,-231,,,,,138.70%
26.1Q,합계,560898,193139,367759,150601,380724,73285,,34.40%
