구분,,25.1Q(분기),,,,26.1Q(분기),,,
,,기말잔액,평균잔액,이자수익,,기말잔액,평균잔액,이자수익,
예금,보통,"41,449 ","18,102 ",49 ,1.1%,"282,597 ","96,209 ",383 ,1.6%
,수익성,"31,090 ","61,498 ",445 ,2.9%,"254,175 ","245,526 ","1,339 ",2.2%
,계,"72,539 ","79,600 ",494 ,2.5%,"536,772 ","341,736 ","1,722 ",2.0%
신탁(자사주 매입용),,"6,540 ",,37 ,,,,,
대여금,,"39,765 ",,392 ,4.6%,"56,368 ",,880 ,4.6%
리스,보증금/전대,"21,516 ",,179 ,3.3%,"18,285 ",,135 ,2.9%
OC 별도 계,,"140,360 ",,"1,102 ",,"611,425 ",,"2,737 ",
"기타
(연결조정)",관계사 대여금,"(39,765) ",,(392) ,,"(56,368) ",,(880) ,
,연결 법인,"(중국 229, 홍콩 40, 엔터 20, ST 15)",,304 ,,"(중국 131, 홍콩 42, 엔터 20, ST 5)",,199 ,
연결 합계,,,,"1,014 ",,,,"2,057 ",
,,,,,,,,,
,,,,"1,102 ",,,,"2,737 ",
,,,,1101527270,,,,2737071560,
,,,,0,,,,0,
